Trace File Name, Cache Size, Block Size, Replacement Policy, Associativity, Total Blocks, Tag Size (bits), Index Size (bits), Total Indices, Overhead Memory Size (KB), Implementation Memory Size (KB), Total Cache Accesses, Cache Hits, Cache Misses, Compulsory Misses, Conflict Misses, Hit Rate %, Miss Rate %, CPI
"Corruption1.trc", 64, 16, RND, 2, 4096, 17, 11, 2048, 9216, 74752, 21397, 19219, 2178, 1614, 564, 89.8, 10.2, 4.3
"Corruption1.trc", 64, 64, RR, 2, 1024, 17, 9, 512, 2304, 67840, 20106, 19134, 972, 662, 310, 95.2, 4.8, 4.0
"Corruption1.trc", 64, 64, RND, 2, 1024, 17, 9, 512, 2304, 67840, 20106, 19077, 1029, 584, 445, 94.9, 5.1, 4.0
"Corruption1.trc", 256, 4, RR, 2, 65536, 15, 15, 32768, 131072, 393216, 27171, 21546, 5625, 5525, 100, 79.3, 20.7, 5.1
"Corruption1.trc", 256, 4, RND, 2, 65536, 15, 15, 32768, 131072, 393216, 27171, 21503, 5668, 5248, 420, 79.1, 20.9, 5.1
"Corruption1.trc", 256, 16, RR, 2, 16384, 15, 13, 8192, 32768, 294912, 21397, 19327, 2070, 1988, 82, 90.3, 9.7, 4.3
"Corruption1.trc", 256, 16, RND, 2, 16384, 15, 13, 8192, 32768, 294912, 21397, 19299, 2098, 1875, 223, 90.2, 9.8, 4.3
"Corruption1.trc", 256, 64, RR, 2, 4096, 15, 11, 2048, 8192, 270336, 20106, 19197, 909, 831, 78, 95.5, 4.5, 4.0
"Corruption1.trc", 256, 64, RND, 2, 4096, 15, 11, 2048, 8192, 270336, 20106, 19165, 941, 770, 171, 95.3, 4.7, 4.0
"Corruption1.trc", 1024, 4, RR, 2, 262144, 13, 17, 131072, 458752, 1507328, 27171, 21550, 5621, 5586, 35, 79.3, 20.7, 5.1
"Corruption1.trc", 1024, 4, RND, 2, 262144, 13, 17, 131072, 458752, 1507328, 27171, 21519, 5652, 5531, 121, 79.2, 20.8, 5.1
"Corruption1.trc", 1024, 16, RR, 2, 65536, 13, 15, 32768, 114688, 1163264, 21397, 19334, 2063, 2038, 25, 90.4, 9.6, 4.3
"Corruption1.trc", 1024, 16, RND, 2, 65536, 13, 15, 32768, 114688, 1163264, 21397, 19313, 2084, 2020, 64, 90.3, 9.7, 4.3
"Corruption1.trc", 1024, 64, RR, 2, 16384, 13, 13, 8192, 28672, 1077248, 20106, 19204, 902, 877, 25, 95.5, 4.5, 4.0
"Corruption1.trc", 1024, 64, RND, 2, 16384, 13, 13, 8192, 28672, 1077248, 20106, 19180, 926, 853, 73, 95.4, 4.6, 4.0
"Trace1A.trc", 8, 4, RR, 2, 2048, 20, 10, 1024, 5376, 13568, 52687, 48068, 4619, 1784, 2835, 91.2, 8.8, 4.8
"Trace1A.trc", 8, 4, RND, 2, 2048, 20, 10, 1024, 5376, 13568, 52687, 48073, 4614, 1654, 2960, 91.2, 8.8, 4.8
"Trace1A.trc", 8, 16, RR, 2, 512, 20, 8, 256, 1344, 9536, 40037, 36636, 3401, 506, 2895, 91.5, 8.5, 4.2
"Trace1A.trc", 8, 16, RND, 2, 512, 20, 8, 256, 1344, 9536, 40037, 36871, 3166, 488, 2678, 92.1, 7.9, 4.2
"Trace1A.trc", 8, 64, RR, 2, 128, 20, 6, 64, 336, 8528, 37895, 34973, 2922, 127, 2795, 92.3, 7.7, 4.1
"Trace1A.trc", 8, 64, RND, 2, 128, 20, 6, 64, 336, 8528, 37895, 35050, 2845, 127, 2718, 92.5, 7.5, 4.1
"Trace1A.trc", 64, 4, RR, 2, 16384, 17, 13, 8192, 36864, 102400, 52687, 49656, 3031, 2989, 42, 94.2, 5.8, 4.6
"Trace1A.trc", 64, 4, RND, 2, 16384, 17, 13, 8192, 36864, 102400, 52687, 49401, 3286, 2911, 375, 93.8, 6.2, 4.7
"Trace1A.trc", 64, 16, RR, 2, 4096, 17, 11, 2048, 9216, 74752, 40037, 38723, 1314, 1238, 76, 96.7, 3.3, 4.1
"Trace1A.trc", 64, 16, RND, 2, 4096, 17, 11, 2048, 9216, 74752, 40037, 38581, 1456, 1187, 269, 96.4, 3.6, 4.1
"Trace1A.trc", 64, 64, RR, 2, 1024, 17, 9, 512, 2304, 67840, 37895, 37184, 711, 585, 126, 98.1, 1.9, 4.0
